Year	EW(m)	NS(m)	UD(m)
2010.42055	0	0	0
2010.42329	-0.00102	0.00141	0.00871
2010.42603	-0.0033	0.00107	0.00975
2010.42877	-0.00154	-0.00094	0.00768
2010.43151	-0.00051	-0.00004	-0.00455
2010.43425	0.00183	0.00245	0.0081
2010.43699	0.00228	0.0033	0.00098
2010.44247	-0.00206	0.00055	0.00914
2010.44521	-0.00133	0.00167	0.00971
2010.44795	0.00046	0.00417	0.00294
2010.45068	0.00124	0.00382	0.01127
2010.45616	-0.00328	0.00553	0.01752
2010.4589	-0.00354	0.00208	0.02801
2010.46164	0.00013	0.0021	0.00763
2010.46438	-0.00186	0.00041	0.00916
2010.46712	-0.00175	0.00191	0.01057
2010.46986	-0.00089	-0.00005	0.0044
2010.4726	0.00389	0.00277	0.02067
2010.47534	0.0001	0.00124	0.00436
2010.47808	-0.00265	0.00151	0.00684
2010.48082	-0.00218	0.00467	0.00587
2010.48356	-0.00293	0.00119	0.01015
2010.4863	-0.00395	0.00094	0.01208
2010.48904	-0.00127	0.00319	0.01331
2010.49178	-0.00367	0.00419	0.00964
2010.49452	-0.00118	0.00938	0.00856
2010.49726	0.00169	0.00201	0.00842
2010.5	0.00102	0.00434	0.01276
2010.50274	0.00206	0.00279	0.0058
2010.50548	0.00326	0.00173	-0.00425
2010.50822	0.00136	0.00339	0.00373
2010.51096	-0.00048	0.00384	0.01127
2010.5137	0.00181	0.00393	0.01354
2010.51644	0.00354	0.00658	0.00304
2010.51918	-0.00209	0.00451	0.00879
2010.52192	-0.00152	0.00389	-0.00463
2010.52466	-0.00235	0.00603	0.00692
2010.5274	-0.00361	0.00331	0.00661
2010.53014	-0.00111	0.00729	0.01623
2010.53288	-0.00266	0.00883	0.00119
2010.53562	-0.00153	0.00228	0.00017
2010.53836	-0.00159	0.00505	0.00496
2010.5411	-0.00002	0.00379	-0.00287
2010.54384	-0.00063	0.00313	-0.00628
2010.54658	-0.00329	0.00444	0.00679
2010.54932	-0.0013	0.00062	0.00421
2010.55205	-0.00335	0.00463	-0.00297
2010.55479	-0.00385	0.00738	-0.0049
2010.55753	-0.0038	0.00481	-0.00398
2010.56027	-0.00443	0.00476	0.00007
2010.56301	-0.00442	0.00751	-0.00022
2010.56575	-0.00328	0.00692	0.00622
2010.56849	-0.00373	0.00567	0.0048
2010.57123	-0.00333	0.00466	0.00766
2010.57397	-0.00857	0.00632	0.01238
2010.57671	-0.00418	0.00521	0.003
2010.57945	-0.00253	0.00668	0.00409
2010.58219	0.00159	0.00771	0.00238
2010.58493	-0.00375	0.0081	0.0066
2010.58767	-0.00867	0.00871	0.00844
2010.59041	0.00283	0.00206	-0.02193
2010.59315	-0.00379	0.00999	-0.0013
2010.59589	-0.00172	0.00796	-0.00905
2010.59863	-0.00412	0.01104	-0.00152
2010.60137	0.00247	0.00895	-0.01084
2010.60411	0.00228	0.01107	0.00472
2010.60685	0.00096	0.0137	-0.00416
2010.60959	-0.00173	0.00513	0.00277
