Year	EW(m)	NS(m)	UD(m)
1999.16301	0	0	0
1999.16575	-0.0023	0.00067	-0.0014
1999.16849	0.00058	-0.0006	0.00367
1999.17123	0.00025	0.00035	-0.00115
1999.17397	0.00165	0.00255	-0.00769
1999.17671	0.00169	0.00193	-0.00188
1999.17945	-0.00025	0.00104	-0.00692
1999.18219	-0.00132	-0.00142	-0.00276
1999.18493	0.0035	-0.00091	-0.00385
1999.18767	-0.00147	0.0007	0.00085
1999.19041	-0.00142	0.00017	0.00186
1999.19315	-0.00124	0.00068	0.0003
1999.19589	-0.00099	-0.00132	0.00005
1999.19863	0.00081	-0.00037	0.00538
1999.20137	-0.00088	-0.00025	0.00904
1999.20411	0.00095	0.00036	-0.00648
1999.20685	0.00212	0.00001	-0.00262
1999.20959	-0.00053	0.00147	-0.00694
1999.21233	-0.00103	0.00008	0.00144
1999.21507	-0.00115	-0.00016	-0.00365
1999.21781	-0.00125	-0.00207	-0.00004
1999.22055	-0.00049	0.00155	0.00726
1999.22329	-0.00295	0.00327	0.00668
1999.22603	-0.00325	0.0029	-0.00015
1999.22877	-0.00156	0.00078	0.00559
1999.23151	0.00002	0.00223	-0.00343
1999.23425	-0.00111	0.00397	-0.00306
1999.23699	-0.00018	0.00324	-0.00473
1999.23973	-0.00276	0.00491	0.00131
1999.24247	-0.00165	0.00325	-0.00179
1999.24521	-0.00073	-0.0012	0.00718
1999.24795	-0.00094	0.00476	-0.00439
1999.25068	-0.00135	0.00242	-0.00225
1999.25342	-0.00155	0.00515	-0.00161
1999.25616	-0.00139	0.00331	0.00315
1999.2589	-0.00185	0.00747	0.00237
1999.26164	-0.00179	0.00482	0.00244
1999.26438	-0.00048	0.00848	-0.00321
1999.26712	-0.00082	0.00226	0.00332
1999.26986	0.00037	0.00725	0.00233
1999.2726	-0.00245	0.00439	0.011
1999.27534	-0.00263	0.00525	0.00064
1999.27808	0.0006	0.00523	0.0016
1999.28082	-0.0026	0.00567	0.00994
1999.28356	-0.00166	0.00405	0.00492
1999.2863	0.00109	0.00394	0.00435
1999.28904	-0.00065	0.00263	-0.0022
1999.29178	0.0028	0.00612	-0.0072
1999.29452	-0.00018	0.00382	-0.00377
1999.29726	0.00105	0.00439	-0.0017
1999.3	-0.0012	0.00539	-0.00394
1999.30274	-0.00328	0.00625	-0.00172
1999.30548	-0.00048	0.00373	-0.00392
1999.30822	-0.0029	0.00494	-0.00717
1999.31096	-0.00275	0.00444	-0.00186
1999.3137	-0.00078	0.00337	0.00119
1999.31644	0.00066	0.00331	0.0025
1999.31918	-0.00187	0.00199	0.00363
1999.32192	-0.00309	0.00698	0.00719
1999.32466	-0.00371	0.00423	0.00331
1999.3274	-0.00352	0.00526	0.0008
1999.33014	-0.00166	0.00525	-0.00346
1999.33288	-0.00179	0.00621	0.00485
1999.33562	-0.00183	0.00402	-0.00523
1999.33836	-0.00116	0.00488	-0.00002
