Year	UD(cm)
2016.001366	0
2016.004098	0.325
2016.00683	-0.832
2016.009562	-0.932
2016.012295	-1.543
2016.015027	-1.319
2016.017759	-1.19
2016.020491	-1.268
2016.023224	-0.427
2016.025956	-0.957
2016.028688	-1.566
2016.03142	-1.173
2016.034153	-0.911
2016.036885	-0.215
2016.039617	0.271
2016.042349	-1.203
2016.045081	-0.985
2016.047814	-0.464
2016.050546	-1.017
2016.053278	-0.806
2016.05601	-1.106
2016.058743	-1.682
2016.061475	-1.327
2016.064207	0.156
2016.066939	-0.645
2016.069672	-0.733
2016.072404	-1.458
2016.075136	-0.891
2016.077868	-0.943
2016.080601	-0.944
2016.083333	-1.633
2016.086065	-0.638
2016.088797	-0.258
2016.09153	-0.214
2016.094262	-0.576
2016.096994	-0.748
2016.099726	-0.867
2016.102459	-0.659
2016.105191	-0.468
2016.107923	-0.157
2016.110655	-0.345
2016.113388	-0.672
2016.11612	-1.015
2016.118852	-1.369
2016.121584	-0.951
2016.124316	-0.327
2016.127049	-0.985
2016.129781	-0.048
2016.132513	-0.869
2016.135245	-1.268
2016.137978	-0.798
2016.14071	-1.145
2016.143442	-2.041
2016.146174	-1.905
2016.148907	-1.371
2016.151639	-1.839
2016.154371	-1.556
2016.157103	-0.861
2016.159836	-1.347
2016.162568	-0.592
2016.1653	-0.947
2016.168032	-0.953
2016.170765	-0.988
2016.173497	-1.545
2016.176229	-1.676
2016.178961	-1.11
2016.181694	-1.761
2016.184426	-1.662
2016.187158	-2.061
2016.18989	-1.565
2016.192622	-1.024
2016.195355	-0.847
2016.198087	-1.225
2016.200819	-0.857
2016.203551	-0.739
2016.206284	0.391
2016.209016	-0.496
2016.21448	-0.541
2016.217213	-1.643
2016.219945	-1.729
2016.222677	-2.035
2016.225409	-1.99
2016.228142	-1.56
2016.230874	-0.965
2016.233606	-0.191
2016.236338	-0.157
2016.239071	-1.123
2016.241803	-0.168
2016.244535	-0.318
2016.247267	-0.946
2016.25	-1.415
2016.252732	-1.965
2016.255464	-1.102
2016.258196	-1.448
2016.260928	-1.47
2016.263661	-1.461
2016.266393	-1.606
2016.269125	-1.465
2016.271857	-2
2016.27459	-1.989
2016.277322	-1.827
2016.280054	-1.381
2016.282786	-1.802
2016.285519	-1.791
2016.288251	-1.869
2016.290983	-2.313
2016.293715	-1.738
2016.296448	-1.591
2016.29918	-2.26
2016.301912	-1.427
2016.304644	-0.753
2016.307377	-1.999
2016.310109	-2.497
2016.312841	-2.133
2016.315573	-2.76
2016.318306	-2.793
2016.321038	-2.061
2016.32377	-1.323
2016.326502	-1.689
2016.329235	-1.317
2016.331967	-2.031
2016.334699	-1.824
2016.337431	-2.143
2016.340163	-1.387
2016.342896	-2.426
2016.34836	-2.066
2016.351092	-1.629
2016.353825	-1.985
2016.356557	-1.379
2016.359289	-1.486
2016.362021	-2.731
2016.364754	-2.122
2016.367486	-1.761
2016.370218	-1.254
2016.37295	-1.742
2016.375683	-2.512
2016.378415	-2.915
2016.381147	-2.615
2016.383879	-1.79
2016.386612	-2.193
2016.389344	-1.838
2016.392076	-2.702
2016.394808	-1.679
2016.397541	-1.715
2016.400273	-1.919
2016.403005	-1.346
2016.405737	-2.244
2016.408469	-2.375
2016.411202	-1.232
2016.413934	-1.586
2016.416666	-2.512
2016.419398	-1.713
2016.422131	-2.853
2016.424863	-2.939
2016.427595	-2.192
2016.430327	-3.16
2016.43306	-3.875
2016.435792	-3.429
2016.438524	-2.534
2016.441256	-2.559
2016.443989	-3.379
2016.446721	-3.081
2016.449453	-2.574
2016.452185	-3.564
2016.454918	-4.039
2016.45765	-3.594
2016.460382	-2.473
2016.463114	-3.139
2016.465847	-1.584
2016.468579	-2.204
2016.471311	-2.274
2016.474043	-2.608
2016.476775	-3.186
2016.479508	-2.463
2016.48224	-2.288
2016.484972	-1.904
2016.487704	-4.235
2016.490437	-3.556
2016.493169	-2.606
2016.495901	-3.149
2016.504098	-4.437
2016.50683	-3.042
2016.509562	-4.533
2016.512295	-3.024
2016.515027	-3.755
2016.517759	-3.803
2016.520491	-2.984
2016.523224	-2.544
2016.525956	-3.261
2016.528688	-3.606
2016.53142	-3.308
2016.534153	-4.425
2016.536885	-2.995
2016.539617	-2.929
2016.542349	-3.158
