YYYY	EW(m)	NS(m)	UD(m)
2010.97945	0	0	0
2010.98219	-0.00088	-0.00023	0.00198
2010.98493	-0.00111	-0.00041	0.00355
2010.98767	-0.00052	0.00066	0.00413
2010.99041	-0.00009	0.00041	0.00045
2010.99315	0.00017	0.00074	-0.00238
2010.99589	-0.00008	-0.00042	-0.00036
2010.99863	0.00048	0.0005	-0.00334
2011.00137	-0.0007	0.00053	-0.00652
2011.00411	-0.00106	0.00065	-0.0072
2011.00685	-0.00078	-0.00008	-0.00321
2011.00959	-0.00129	0.00074	-0.0057
2011.01233	-0.00082	0.00075	-0.00616
2011.01507	-0.00101	0.0001	-0.0048
2011.01781	-0.00118	0.00096	-0.00454
2011.02055	-0.00088	0.00144	-0.00575
2011.02329	-0.00109	0.00116	-0.00284
2011.02603	-0.00119	0.00115	0.0011
2011.02877	-0.00132	0.00047	0.00111
2011.03151	-0.0013	0.00104	-0.00123
2011.03425	-0.00068	0.00213	-0.00586
2011.03699	-0.00053	0.00104	-0.00752
2011.03973	0.00018	0.00116	-0.00787
2011.04247	-0.00063	0.00091	-0.00743
2011.04521	-0.00097	0.00154	-0.00853
2011.04795	-0.00091	0.00192	-0.01029
2011.05068	-0.00124	0.00122	-0.00829
2011.05342	-0.00141	0.00162	-0.0064
2011.05616	-0.002	0.00169	-0.00512
2011.0589	-0.00138	0.00225	-0.00898
2011.06164	-0.00265	0.00198	-0.0061
2011.06438	-0.0006	0.00131	-0.00611
2011.06712	-0.00148	0.00144	-0.00957
2011.06986	-0.00213	0.00198	-0.01104
2011.0726	-0.0022	0.00123	-0.01189
2011.07534	-0.00366	0.00268	-0.00447
2011.07808	-0.00398	0.00278	-0.00454
2011.08082	-0.00338	0.00189	-0.0025
2011.08356	-0.00371	0.00305	-0.00091
2011.0863	-0.00378	0.00368	0.00024
2011.08904	-0.0038	0.0043	-0.00084
2011.09178	-0.0037	0.00381	0.00137
2011.09452	-0.00397	0.00396	0.00131
2011.09726	-0.00342	0.0047	0.00111
2011.1	-0.00372	0.00434	0.00048
2011.10274	-0.00281	0.00467	0.0019
2011.10548	-0.00383	0.00453	-0.00058
2011.10822	-0.00321	0.00369	-0.00239
2011.11096	-0.00297	0.0049	-0.00306
2011.1137	-0.00364	0.00509	-0.00279
2011.11644	-0.00282	0.00434	-0.00059
2011.11918	-0.00487	0.00557	-0.00509
2011.12192	-0.00541	0.00428	-0.00031
2011.12466	-0.00511	0.00492	-0.00088
2011.1274	-0.00447	0.00484	-0.0016
2011.13014	-0.00438	0.00443	0.00028
2011.13288	-0.00495	0.0042	-0.00269
2011.13562	-0.00476	0.0054	-0.00024
2011.13836	-0.00528	0.00532	-0.00212
2011.1411	-0.00507	0.00528	-0.00334
2011.14384	-0.0046	0.00533	0.00199
2011.14658	-0.00323	0.00395	0.00165
2011.14932	-0.00379	0.00492	-0.00363
2011.15205	-0.00431	0.00533	-0.00157
2011.15479	-0.00283	0.00559	-0.00385
2011.15753	-0.00302	0.00476	-0.00179
2011.16027	-0.00333	0.00538	0.00105
2011.16301	-0.00443	0.00347	0.00331
2011.16575	-0.00474	0.00549	0.00464
2011.16849	-0.00559	0.00501	0.00259
2011.17123	-0.00498	0.00554	0.00502
2011.17397	-0.00389	0.00565	0.00336
2011.17671	-0.00401	0.00638	-0.00032
2011.17945	-0.00426	0.00641	0.00261
2011.18219	-0.00482	0.00653	0.00198
2011.18493	-0.00432	0.00576	0.00102
2011.18767	-0.00409	0.00605	0.00279
2011.19041	-0.00301	0.0055544	0.00493
2011.19315	-0.0021	0.0074944	-0.00184
2011.19589	-0.00418	0.0071544	0.00339
2011.19863	-0.00469	0.0070044	-0.00161
2011.20137	-0.00428	0.0077444	0.00494
2011.20411	-0.00623	0.0092744	0.00648
2011.20685	-0.00617	0.0073544	0.00542
2011.20959	-0.00489	0.0080744	0.0045
2011.21233	-0.00394	0.0080544	0.00427
2011.21507	-0.00354	0.0088244	0.00499
2011.21781	-0.0039	0.0088744	-0.00199
2011.22055	-0.00452	0.0076744	0.0004
2011.22329	-0.00584	0.0088644	0.00045
2011.22603	-0.00585	0.0093744	0.00144
2011.22877	-0.00623	0.0096644	0.00299
2011.23151	-0.00659	0.0105644	-0.00037
2011.23425	-0.00586	0.0108744	-0.00052
2011.23699	-0.00691	0.0104544	-0.00043
2011.23973	-0.00656	0.0103444	-0.00117
2011.24247	-0.00651	0.0104744	-0.00018
2011.24521	-0.00609	0.0115544	-0.00318
2011.24795	-0.00494	0.0114844	-0.00499
2011.25068	-0.0065	0.0099544	-0.00367
2011.25342	-0.00702	0.0107644	-0.00271
2011.25616	-0.00726	0.0108344	-0.00294
2011.2589	-0.00658	0.0114044	-0.00185
2011.26164	-0.00527	0.0096144	-0.00344
2011.26438	-0.00573	0.0110344	-0.00261
2011.26712	-0.0063	0.0114144	-0.00084
2011.26986	-0.00624	0.0129844	-0.00047
2011.2726	-0.00628	0.0110444	-0.00348
2011.27534	-0.00601	0.0119244	0.00159
2011.27808	-0.00742	0.0116444	0.00037
2011.28082	-0.0049	0.0111344	0.00196
2011.28356	-0.00698	0.0115244	0.00239
2011.2863	-0.00603	0.0121344	-0.00161
2011.28904	-0.00496	0.0124244	0.00131
2011.29178	-0.00559	0.0151444	0.00024
2011.29452	-0.00549	0.0141044	-0.00104
2011.29726	-0.00503	0.0132644	0.00173
2011.3	-0.006	0.0157244	0.00118
2011.30274	-0.00507	0.0138044	-0.00364
2011.30548	-0.00508	0.0128744	0.00096
2011.30822	-0.00569	0.0142244	0.00016
2011.31096	-0.00637	0.0144344	0.00342
2011.3137	-0.00513	0.0145044	0.00114
2011.31644	-0.00658	0.0133944	-0.00022
2011.31918	-0.00609	0.0141044	0.00562
2011.32192	-0.00658	0.0155944	0.00548
2011.32466	-0.00391	0.0151144	0.00476
2011.3274	-0.00482	0.0138044	0.0063
2011.33014	-0.00495	0.0132044	0.00414
2011.33288	-0.00456	0.0143744	0.0008
2011.33562	-0.00576	0.0145244	0.00296
2011.33836	-0.0042	0.0143544	0.00643
2011.3411	-0.00411	0.0142444	0.00158
2011.34384	-0.0058	0.0157344	0.00926
2011.34658	-0.00466	0.0175644	0.00916
2011.34932	-0.0051	0.0134944	0.00616
2011.35205	-0.00458	0.0119644	0.01074
2011.35479	-0.00344	0.0157544	0.00112
2011.35753	-0.00526	0.0154544	0.01223
2011.36027	-0.00614	0.0152044	0.00697
2011.36301	-0.0046	0.0155044	0.00801
2011.36575	-0.00596	0.0158144	0.00259
2011.36849	-0.00428	0.0152444	-0.0013
2011.37123	-0.00641	0.0163444	0.00666
2011.37397	-0.00595	0.0154444	0.00993
2011.37671	-0.00532	0.0156044	0.00269
2011.37945	-0.00561	0.0163044	0.00495
2011.38219	-0.00457	0.0169244	0.00672
2011.38493	-0.00551	0.0154144	0.0042
2011.38767	-0.00612	0.0169144	0.0029
2011.39041	-0.00767	0.0167144	0.0029
2011.39315	-0.00686	0.0165644	0.00078
2011.39589	-0.00635	0.0175344	0.00319
2011.39863	-0.00539	0.0157744	-0.00177
2011.40137	-0.00635	0.0163244	0.00264
2011.40411	-0.00823	0.0184144	0.00421
2011.40685	-0.00491	0.0176544	0.00111
2011.40959	-0.00541	0.0173244	-0.00383
2011.41233	-0.00612	0.0182444	0.00772
2011.41507	-0.00691	0.0183244	0.00148
2011.41781	-0.0062	0.0174044	0.00866
2011.42055	-0.00488	0.0177544	0.00798
2011.42329	-0.00584	0.0167144	0.00277
2011.42603	-0.00431	0.0166244	0.00451
2011.42877	-0.00698	0.0167344	0.00737
2011.43151	-0.00935	0.0152744	0.0129
2011.43425	-0.00659	0.0188144	0.00898
2011.43699	-0.00574	0.0179044	0.00659
2011.43973	-0.00754	0.0172844	0.00701
2011.44247	-0.00818	0.0179244	0.00946
2011.44521	-0.0086	0.0174344	0.01152
2011.44795	-0.00855	0.0174444	0.00471
2011.45068	-0.00879	0.0185244	0.00552
2011.45342	-0.01067	0.0171644	0.01423
2011.45616	-0.00522	0.0184544	0.00422
2011.4589	-0.00788	0.0175944	0.00494
2011.46164	-0.009	0.0183944	0.00672
2011.46438	-0.00779	0.0179144	0.00917
2011.46712	-0.00944	0.0180644	0.00835
2011.46986	-0.00794	0.0230744	0.01167
2011.4726	-0.00537	0.0163044	0.00705
2011.47534	-0.00786	0.0198544	0.01211
2012.09153	-0.01425	0.0363444	0.00141
2012.09426	-0.01505	0.0356444	-0.00107
2012.09699	-0.0137	0.0369144	-0.0007
2012.09973	-0.01457	0.0367044	-0.00582
2012.10246	-0.01344	0.0358944	-0.00062
2012.10519	-0.01336	0.0365044	-0.00204
2012.10792	-0.01386	0.0363144	-0.0024
2012.11066	-0.01464	0.0371044	-0.00268
2012.11339	-0.01436	0.0371544	-0.00381
2012.11612	-0.01343	0.0367744	-0.00405
2012.11885	-0.01333	0.0364044	-0.00223
2012.12158	-0.01319	0.0366044	-0.00363
2012.12432	-0.01308	0.0362744	-0.00344
2012.12705	-0.01458	0.0367944	-0.00274
2012.12978	-0.01346	0.0370544	-0.00382
2012.13251	-0.01449	0.0374444	-0.00078
2012.13525	-0.01482	0.0384344	0.00073
2012.13798	-0.01513	0.0388744	-0.00182
2012.14071	-0.01637	0.0393044	0.00156
2012.14344	-0.01524	0.0391244	-0.00095
2012.14617	-0.01619	0.0385544	-0.00209
2012.14891	-0.01513	0.0398244	-0.00123
2012.15164	-0.01561	0.0380944	-0.00245
2012.15437	-0.01572	0.0389744	0.00041
2012.1571	-0.01524	0.0401844	-0.00009
2012.15984	-0.01529	0.0404544	0.00084
2012.16257	-0.01597	0.0399644	-0.00085
2012.16803	-0.01523	0.0394344	-0.00283
2012.17077	-0.01547	0.0401444	-0.00339
2012.1735	-0.0149	0.0409544	-0.00082
2012.17623	-0.01691	0.0412644	-0.00013
2012.17896	-0.01457	0.0407844	0.00025
2012.18169	-0.01505	0.0405244	-0.00469
2012.18443	-0.01499	0.0407044	-0.00589
2012.18716	-0.01485	0.0390744	-0.00178
2012.18989	-0.0152	0.0415444	-0.00456
2012.19262	-0.01547	0.0403444	-0.00438
2012.19536	-0.01579	0.0414944	-0.00154
2012.19809	-0.01638	0.0413644	-0.00321
2012.20082	-0.01627	0.0412344	-0.00426
2012.20355	-0.01724	0.0401144	-0.00312
2012.20628	-0.01609	0.0412944	-0.0053
2012.20902	-0.01613	0.0423644	-0.00261
2012.21175	-0.01678	0.0413444	-0.00329
2012.21448	-0.01738	0.0407244	-0.00286
2012.21721	-0.01775	0.0420644	-0.00104
2012.21995	-0.01671	0.0411844	-0.00087
2012.22268	-0.01585	0.0406644	-0.00451
