Year	EW(m)	NS(m)	UD(m)
2010.57397	0	0	0
2010.57671	0.00723	-0.0027	-0.01119
2010.57945	0.00906	0.0001	0.00389
2010.58219	0.01045	0.00032	-0.01186
2010.58493	0.00592	0.00086	-0.0159
2010.58767	0.00317	0.00009	-0.00262
2010.59041	0.00911	-0.00327	-0.02427
2010.59315	0.00782	0.00051	-0.01108
2010.59589	0.00691	0.00296	-0.02365
2010.59863	0.00596	0.00397	-0.01788
2010.60411	0.01048	0.00388	-0.01827
2010.60685	0.00998	0.00365	-0.02127
2010.61233	0.00798	0.00392	-0.00851
2010.61507	0.00932	-0.00044	-0.01805
2010.62055	0.00685	0.00268	-0.01054
2010.62329	0.00542	0.00466	-0.02042
2010.62603	0.00518	0.00568	-0.01177
2010.62877	0.00472	0.00288	-0.01485
2010.63973	0.00959	0.00216	-0.02939
2010.64247	0.00796	-0.00005	-0.02599
2010.64521	0.00765	0.00131	-0.02398
2010.64795	0.00779	0.00277	-0.0244
2010.65068	0.00574	0.00456	-0.02321
2010.65342	0.00451	0.00199	-0.02176
2010.65616	0.00447	0.00202	-0.02048
2010.6589	0.00653	0.00353	-0.017
2010.66164	0.00747	0.00331	-0.01564
2010.66438	0.00527	0.00365	-0.02044
2010.66712	0.00787	0.0021	-0.03747
2010.66986	0.0078	0.00235	-0.02101
2010.6726	0.00718	0.00259	-0.01423
2010.67534	0.00656	0.00489	-0.01953
2010.68082	0.01059	0.00427	-0.01851
2010.68356	0.00878	0.00111	-0.02608
2010.6863	0.00721	0.0036	-0.02358
2010.68904	0.01049	-0.00036	-0.02407
2010.69178	0.00686	0.00441	-0.01568
2010.69452	0.00474	0.00429	-0.01975
2010.69726	0.00792	0.00384	-0.01898
2010.7	0.00771	0.00435	-0.0203
2010.70274	0.00567	0.00757	-0.01662
2010.70548	0.00506	0.00518	-0.01929
2010.70822	0.00473	0.00346	-0.00963
2010.71096	0.00348	0.00662	-0.01975
2010.7137	0.00818	0.00539	-0.02176
2010.71644	0.00724	0.00544	-0.02354
2010.71918	0.00276	0.00637	-0.01073
2010.72466	0.00756	0.00391	-0.0153
2010.7274	0.00557	0.00513	-0.02258
2010.73014	0.00597	0.00575	-0.02229
2010.73288	0.00644	0.00444	-0.02584
2010.73562	0.00884	0.00431	-0.02751
2010.73836	0.00655	0.00609	-0.02509
2010.7411	0.00601	0.00496	-0.02484
2010.74384	0.00507	0.00351	-0.02391
2010.74658	0.00665	0.00462	-0.02361
2010.74932	0.00614	0.0057	-0.02677
2010.75205	0.00556	0.00495	-0.03206
2010.75479	0.00597	0.00375	-0.02807
2010.75753	0.00523	0.00555	-0.01476
2010.76027	0.00405	0.00614	-0.01953
2010.76301	0.00461	0.007	-0.02374
2010.76575	0.00255	0.00705	-0.01917
2010.76849	0.00258	0.00719	-0.0195
2010.77123	0.0041	0.00714	-0.01476
2010.77397	0.00611	0.00434	-0.01891
2010.77671	0.00532	0.00539	-0.02225
2010.77945	0.00509	0.00539	-0.02557
2010.78219	0.00583	0.00668	-0.01936
