Year	EW(m)	NS(m)	UD(m)
2010.89452	0	0	0
2010.89726	-0.00047	0.00102	0.00008
2010.9	-0.00071	-0.00019	0.00443
2010.90274	0.00069	0.00012	0.0057
2010.90548	-0.00064	-0.0011	0.00334
2010.90822	-0.00111	-0.00088	0.00708
2010.91096	0.00003	-0.00054	0.00534
2010.9137	-0.00259	-0.00077	0.00737
2010.91644	-0.00247	-0.00218	0.00461
2011.05616	-0.00387	0.00176	-0.01804
2011.0589	-0.00295	0.00208	-0.01345
2011.06164	-0.0036	0.00358	-0.01368
2011.06438	-0.00161	-0.00114	-0.01197
2011.06712	-0.00259	0.00132	-0.01376
2011.06986	-0.00238	0.00303	-0.00938
2011.0726	-0.00139	-0.00098	-0.01478
2011.07534	-0.00343	0.00189	-0.00761
2011.07808	-0.00393	0.00293	-0.00587
2011.08082	-0.00408	-0.0003	-0.00639
2011.08356	-0.00465	0.00294	-0.00655
2011.0863	-0.00379	0.00274	-0.00633
2011.08904	-0.00341	0.00286	-0.00421
2011.09178	-0.00461	0.00095	-0.00467
2011.09452	-0.0039	0.00303	-0.00377
2011.09726	-0.00975	-0.00187	0.03944
2011.13288	-0.00225	0.00299	-0.00349
2011.13562	-0.00213	0.0025	-0.00765
2011.13836	-0.00199	0.00108	-0.00928
2011.1411	-0.00146	0.00171	-0.00566
2011.14384	-0.0027	0.00259	-0.00582
2011.14658	-0.00083	0.00295	-0.00278
2011.14932	-0.00172	0.00352	-0.00776
2011.15205	-0.00342	0.00358	-0.00308
2011.15479	-0.00046	0.00204	-0.01131
2011.15753	-0.00028	0.00011	-0.01292
2011.16027	-0.00179	0.00297	-0.00482
2011.16301	-0.00312	0.00122	-0.00402
2011.16575	-0.00119	0.00099	-0.00582
2011.16849	-0.00277	0.00247	-0.00174
2011.17123	-0.00285	0.00314	-0.00031
2011.17397	-0.00145	0.0038	-0.00458
2011.17671	-0.00225	0.00401	-0.00661
2011.17945	-0.00288	0.00431	0.00087
2011.18219	-0.00276	0.00311	-0.00752
2011.18493	-0.00272	0.00431	-0.00803
2011.18767	-0.00158	0.00435	-0.00549
2011.19041	-0.00165	0.0046198	-0.00254
2011.19315	-0.00224	0.0057098	-0.00455
2011.19589	-0.00165	0.0046098	-0.01013
2011.19863	-0.00252	0.0050398	-0.01035
2011.20137	-0.00255	0.0065398	-0.00133
2011.20411	-0.00275	0.0065798	-0.0031
2011.20685	-0.00205	0.0051198	-0.00591
2011.20959	-0.00232	0.0079098	-0.00708
2011.21233	-0.00035	0.0056498	-0.00876
2011.21507	-0.00001	0.0074498	-0.00509
2011.21781	-0.00029	0.0064398	-0.01336
2011.22055	-0.00254	0.0068898	-0.00485
2011.22329	-0.00271	0.0076198	-0.01336
2011.22603	-0.00341	0.0073598	-0.01553
2011.22877	-0.00373	0.0076398	-0.01373
2011.23151	-0.00365	0.0071998	-0.02053
2011.24247	-0.00479	0.0079498	-0.01337
2011.24521	-0.00345	0.0086698	-0.01794
2011.24795	-0.00247	0.0099298	-0.01628
2011.25068	-0.00319	0.0081098	-0.02019
2011.25342	-0.00418	0.0078798	-0.01816
2011.25616	-0.00502	0.0106898	-0.01811
2011.2589	-0.00271	0.0095398	-0.01103
2011.26164	-0.00171	0.0077398	-0.01379
2011.26438	-0.00127	0.0093998	-0.00973
2011.26712	-0.0026	0.0101498	-0.00814
2011.26986	-0.00356	0.0113998	-0.01364
2011.2726	-0.00174	0.0095598	-0.01568
2011.27534	-0.00168	0.0084998	-0.00978
2011.27808	-0.00312	0.0095698	-0.00816
2011.28082	-0.00247	0.0087798	-0.01187
2011.28356	-0.0026	0.0100298	-0.00907
2011.2863	-0.00266	0.0115998	-0.0074
2011.28904	-0.00076	0.0085798	-0.01177
2011.29178	-0.00203	0.0132198	-0.0103
2011.29452	-0.0027	0.0144098	-0.00536
2011.29726	-0.00103	0.0115198	-0.01183
2011.3	-0.00154	0.0145598	-0.01226
2011.30274	-0.00004	0.0121698	-0.01021
2011.30548	-0.00175	0.0115998	-0.01008
2011.30822	-0.00086	0.0131298	-0.0119
2011.31644	0.00027	0.0104998	-0.01165
2011.31918	-0.00116	0.0101298	-0.01092
2011.32192	-0.00213	0.0121098	-0.00001
2011.32466	0.00051	0.0114998	-0.0128
2011.3274	-0.00161	0.0120898	-0.01039
2011.33014	0.00132	0.0137798	-0.00233
2011.33288	0.00186	0.0134498	-0.0137
2011.33562	0.00104	0.0136698	-0.00886
2011.33836	0.00164	0.0132798	-0.00972
2011.3411	0.00084	0.0108298	-0.01667
2011.34384	0.00173	0.0127998	-0.00571
2011.34658	0.00041	0.0149298	-0.00581
2011.34932	0.00193	0.0116298	-0.01658
2011.35205	0.00439	0.0130898	-0.00734
2011.35479	0.00322	0.0129598	-0.00979
